Total episodios con iVoox: 1238
[0%] 1 ok, 4 skip, 1 fail — b90-supernova-92-presentacion-en-la-libreria-crazy-mary-de-r
[1%] 2 ok, 4 skip, 1 fail — 1125-the-smashing-pumpkins-melancolia-sinfonica-el-funeral-d
[1%] 3 ok, 4 skip, 2 fail — 1123-especial-megadeth-youthanasia-parte-4
[1%] 4 ok, 4 skip, 2 fail — 1122-programa-en-directo-desde-valencia-el-proximo-16-de-may
[1%] 5 ok, 4 skip, 3 fail — b90-supernova-91-radiohead-no-compuso-street-spirit-fade-out
[1%] 6 ok, 4 skip, 4 fail — 1119-la-energia-cruda-de-southie-y-su-album-debut-collision
[1%] 7 ok, 4 skip, 7 fail — 1115-especial-30-anos-del-moseley-shoals-ocean-colour-scene
[2%] 8 ok, 4 skip, 7 fail — b90-supernova-90-la-historia-detras-de-parklife-de-blur-y-la
[2%] 9 ok, 4 skip, 7 fail — 1114-especial-galan-fest-2025
[2%] 10 ok, 4 skip, 7 fail — 1113-entrevista-a-sincorazon
[2%] 11 ok, 4 skip, 8 fail — 1111-novedades-le-mur-kim-gordon-puma-blue-social-distortion
[2%] 12 ok, 4 skip, 8 fail — 1110-programa-en-directo-con-the-wasted-garage-en-valencia
[2%] 13 ok, 4 skip, 10 fail — 1107-especial-megadeth-countdown-to-extinction-parte-3
[2%] 14 ok, 4 skip, 10 fail — 1106-20-anos-de-trayectoria-la-historia-de-red-apple
[2%] 15 ok, 4 skip, 10 fail — 1105-manuel-cabezali-producciones-2025
[2%] 16 ok, 4 skip, 10 fail — 1104-mi-nueva-banda-favorita-alphawhores
[sin transcript] 1103-el-dia-que-mike-mccready-pearl-jam-se-paseo-por-lavapie
[3%] 17 ok, 4 skip, 11 fail — 1102-una-hora-de-grunge-sin-casi-pausas
[3%] 18 ok, 4 skip, 12 fail — 1101-especial-megadeth-rust-in-peace-parte-2
[3%] 19 ok, 4 skip, 13 fail — 1099-arranca-el-ano-14-de-bienvenido-a-los-90
[3%] 20 ok, 4 skip, 13 fail — 1098-especial-megadeth-parte-1
[3%] 21 ok, 4 skip, 13 fail — b90-supernova-88-blind-melon-la-historia-de-no-rain
[3%] 22 ok, 4 skip, 14 fail — 1096-especial-the-beatles-anthology-4-con-javier-polo
[3%] 23 ok, 4 skip, 14 fail — 1095-especial-1995-5-5-rocket-from-the-crypt-alice-in-chains
[3%] 24 ok, 4 skip, 14 fail — b90-supernova-87-drink-the-sea-madrid-06-12-2025
[3%] 25 ok, 4 skip, 14 fail — 1094-una-seleccion-musical-exquisita-vol-3
[4%] 26 ok, 4 skip, 14 fail — 1093-especial-1995-4-5-ramones-garbage-blind-melon-rancid-oa
[4%] 27 ok, 4 skip, 15 fail — 1091-especial-1995-3-5-smashing-pumpkins-primus-bjork-alanis
[4%] 28 ok, 4 skip, 17 fail — 1088-especial-1995-2-5-monster-magnet-morphine-silverchair-w
[4%] 29 ok, 4 skip, 17 fail — b90-supernova-86-the-offspring-madrid-26-09-2025
[4%] 30 ok, 4 skip, 17 fail — 1087-sarajevo-84-presentan-the-after-party
[4%] 31 ok, 4 skip, 17 fail — 1086-especial-1995-1-5-radiohead-pj-harvey-mad-season-the-ja
[4%] 32 ok, 4 skip, 17 fail — 1085-producciones-cabezali-2024
[4%] 33 ok, 4 skip, 17 fail — 1084-especial-escena-alternativa-canaria
[4%] 34 ok, 4 skip, 17 fail — 1083-os-presento-el-club-de-los-podcast-musicales
[5%] 35 ok, 4 skip, 24 fail — 1077-especial-bruce-springsteen-deliver-me-from-nowhere
[5%] 36 ok, 4 skip, 24 fail — 1076-os-presento-a-la-persona-que-me-descubrio-otra-musica
[5%] 37 ok, 4 skip, 24 fail — 1075-entrevista-a-drink-the-sea
[5%] 38 ok, 4 skip, 24 fail — b90-supernova-84-the-lemonheads-madrid-2025
[5%] 39 ok, 4 skip, 24 fail — 1074-the-lemonheads-arte-o-timo
[6%] 40 ok, 4 skip, 25 fail — 1072-inicio-de-la-nueva-temporada
[6%] 41 ok, 4 skip, 25 fail — 1071-hablando-con-manuel-pinazo-de-muzikalia-final-de-tempor
[6%] 42 ok, 4 skip, 25 fail — b90-supernova-83-placebo-y-david-bowie
[7%] 43 ok, 4 skip, 34 fail — 1061-especial-oasis-en-londres-1
[7%] 44 ok, 4 skip, 34 fail — 1060-especial-buenas-noches-rose
[7%] 45 ok, 4 skip, 34 fail — 1059-alanis-morissette-en-madrid-2025
[7%] 46 ok, 4 skip, 34 fail — b90-supernova-82-beth-gibbons-noches-del-botanico-madrid
[7%] 47 ok, 4 skip, 35 fail — 1057-matt-cameron-se-despide-de-pearl-jam
[7%] 48 ok, 4 skip, 35 fail — 1056-el-regreso-de-oasis-a-manchester
[7%] 49 ok, 4 skip, 36 fail — 1054-especial-regreso-de-oasis
[7%] 50 ok, 4 skip, 36 fail — b90-supernova-81-air-noches-del-botanico-madrid
[7%] 51 ok, 4 skip, 36 fail — 1053-oasis-cronica-desde-cardiff
[7%] 52 ok, 4 skip, 36 fail — 1052-la-apoteoasis-la-historia-del-regreso-de-oasis-2
[8%] 53 ok, 4 skip, 36 fail — 1051-la-apoteoasis-la-historia-del-regreso-de-oasis-1
[8%] 54 ok, 4 skip, 37 fail — 1049-maud-the-moth-presenta-the-distaff
[8%] 55 ok, 4 skip, 39 fail — 1047-especial-nirvana-su-historia-desde-enero-a-junio-de-199
[8%] 56 ok, 4 skip, 39 fail — 1046-break-the-senses-nos-presentan-the-rebels
[8%] 57 ok, 4 skip, 39 fail — 1045-celebrando-los-10-000-suscriptores
[8%] 58 ok, 4 skip, 39 fail — 1044-j-f-leon-asi-fueron-mis-90-s
[8%] 59 ok, 4 skip, 40 fail — b90-supernova-79-recordando-a-the-magnificent-bastards
[8%] 60 ok, 4 skip, 40 fail — 1042-mi-viaje-a-manchester-para-ver-a-noel-gallagher
[8%] 61 ok, 4 skip, 40 fail — 1041-the-elven-nos-presentan-solstice
[9%] 62 ok, 4 skip, 40 fail — 1040-rage-against-the-machine-live-on-tour-1993
[9%] 63 ok, 4 skip, 40 fail — 1039-the-beatles-help-1965-cap-6
[9%] 64 ok, 4 skip, 41 fail — 1038-me-voy-al-gent-jazz-festival-para-ver-a-air
[9%] 65 ok, 4 skip, 43 fail — b90-supernova-77-the-dylans-y-el-grudge
[9%] 66 ok, 4 skip, 44 fail — 1034-especial-libros-musicales-desde-barcelona
[9%] 67 ok, 4 skip, 46 fail — b90-supernova-76-kim-gordon-y-kim-deal
[10%] 68 ok, 4 skip, 49 fail — b90-supernova-75-el-motivo-por-el-que-no-estamos-en-spotify
[10%] 69 ok, 4 skip, 49 fail — 1028-especial-load-reload-de-metallica
[10%] 70 ok, 4 skip, 49 fail — 1027-hablamos-de-la-primera-monkey-party
[10%] 71 ok, 4 skip, 49 fail — 1026-especial-the-black-crowes-parte2
[10%] 72 ok, 4 skip, 49 fail — 1025-especial-the-black-crowes-parte1
[10%] 73 ok, 4 skip, 49 fail — b90-supernova-74-la-intrahistoria-del-homenaje-a-dover
[10%] 74 ok, 4 skip, 50 fail — 1023-el-impacto-de-nirvana-en-la-juventud-actual
[10%] 75 ok, 4 skip, 50 fail — b90-supernova-73-bulls-on-parade-de-rage-against-the-machine
[11%] 76 ok, 4 skip, 51 fail — 1021-especial-1994-12-the-beatles-the-stone-roses-bush-pearl
[11%] 77 ok, 4 skip, 51 fail — 1020-especial-1994-11-the-black-crowes-nirvana-tom-petty-woo
[sin transcript] 1019-especial-1994-10-the-cranberries-the-smashing-pumpkins-
[11%] 78 ok, 4 skip, 55 fail — p-1016-una-seleccion-musical-exquisita-vol-2
[11%] 79 ok, 4 skip, 56 fail — p-1015-especial-1994-parte-7-prodigy-neil-young-l7-rolling-s
[11%] 80 ok, 4 skip, 56 fail — p-1014-desde-la-fundacion-club-45-con-alex-cooper
[11%] 81 ok, 4 skip, 56 fail — p-1013-especial-1994-parte-6-nirvana-stone-temple-pilots-mas
[12%] 82 ok, 4 skip, 57 fail — p-1011-novedades-hermana-furia-kim-deal-birdmask-8ad-julie
[12%] 83 ok, 4 skip, 57 fail — b90-supernova-70-alain-johannes-radio75-madrid-15-11-24
[12%] 84 ok, 4 skip, 59 fail — p-1008-el-cuervo-1994-2024
[12%] 85 ok, 4 skip, 59 fail — p-1007-especial-spinda-records
[12%] 86 ok, 4 skip, 62 fail — p-1004-especial-1994-parte-5-johnny-cash-mark-lanegan-kyuss-
[12%] 87 ok, 4 skip, 63 fail — sobre-los-premios-ivoox-2024
[13%] 88 ok, 4 skip, 63 fail — b90-supernova-68-veyls-un-proyecto-con-louise-post
[13%] 89 ok, 4 skip, 66 fail — p-999-especial-galan-fest-2024
[13%] 90 ok, 4 skip, 66 fail — b90-supernova-67-cuando-patti-smith-recordo-a-kurt-cobain
[13%] 91 ok, 4 skip, 66 fail — p-998-entrevista-a-pasajero-y-arturo-paniagua
[13%] 92 ok, 4 skip, 69 fail — p-995-recordando-las-sintonias-de-disco-grande-con-julio-rui
[14%] 93 ok, 4 skip, 74 fail — b90-supernova-64-pearl-jam-en-barcelona-08-07-24
[14%] 94 ok, 4 skip, 74 fail — p-990-especial-the-smashing-pumpkins-aghori-mhori-mei
[14%] 95 ok, 4 skip, 74 fail — p-989-10-recuerdos-de-la-gira-de-alain-johannes-y-lost-satel
